Номер автора,Фамилия,Имя,Отчество
0,Андреев,Леонид,Николаевич
1,Арцыбашев,Михаил,Петрович
2,Бунин,Иван,Алексеевич
3,Герцен,Александр,Иванович
4,Гоголь,Николай,Васильевич
5,Гончаров,Иван,Александрович
6,Горький,Максим,Максимович
7,Грин,Александр,Степанович
8,Достоевский,Федор,Михайлович
9,Замятин,Евгений,Иванович
10,Короленко,Владимир,Галактионович
11,Куприн,Александр,Иванович
12,Лесков,Николай,Семенович
13,Пушкин,Александр,Сергеевич
14,Салтыков-Щедрин,Михаил,Евграфович
15,Сологуб,Федор,Кузьмич
16,Толстой,Лев,Николаевич
17,Тургенев,Иван,Сергеевич
18,Чехов,Антон,Павлович
19,Шмелев,Иван,Сергеевич